iter	Passed	Remaining
479	634	687
480	634	685
481	635	683
482	636	681
483	637	679
484	638	678
485	639	676
486	640	674
487	641	672
488	642	671
489	643	669
490	644	667
491	645	666
492	646	664
493	647	662
494	648	661
495	648	659
496	649	657
497	650	655
498	651	654
499	652	652
500	653	651
501	655	649
502	655	648
503	656	646
504	657	644
505	658	643
506	659	641
507	660	639
508	661	638
509	662	636
510	663	634
511	664	633
512	665	631
513	666	630
514	667	628
515	668	626
516	669	625
517	669	623
518	670	621
519	671	619
520	672	618
521	673	616
522	674	615
523	675	613
524	676	611
525	677	610
526	678	608
527	678	606
528	679	605
529	680	603
530	681	602
531	682	600
532	683	598
533	684	597
534	685	595
535	686	593
536	687	592
537	688	591
538	689	589
539	690	588
540	691	586
541	692	584
542	693	583
543	693	581
544	694	579
545	695	578
546	696	577
547	697	575
548	698	573
549	699	572
550	700	570
551	701	568
552	702	567
553	703	566
554	704	564
555	704	562
556	705	561
557	706	559
558	707	558
559	708	556
560	709	555
561	710	553
562	711	551
563	711	550
564	712	548
565	713	547
566	714	545
567	715	544
568	716	542
569	717	540
570	718	539
571	719	538
572	719	536
573	720	534
574	721	533
575	722	531
576	723	530
577	723	528
578	724	527
579	726	525
580	727	524
581	727	522
582	728	521
583	729	519
584	730	518
585	731	516
586	731	514
587	732	513
588	733	512
589	734	510
590	735	508
591	736	507
592	737	505
593	737	504
594	738	502
595	739	501
596	740	500
597	741	498
598	742	497
599	743	495
600	744	494
601	745	492
602	745	491
603	746	489
604	748	488
605	749	487
606	749	485
607	750	484
608	751	482
609	752	481
610	753	479
611	754	478
612	755	476
613	756	475
614	757	474
615	758	472
616	759	471
617	760	470
618	761	468
619	762	467
620	763	465
621	764	464
622	765	463
623	766	461
624	767	460
625	768	458
626	769	457
627	770	456
628	771	454
629	772	453
630	772	452
631	773	450
632	774	449
633	775	447
634	776	446
635	777	445
636	778	443
637	779	442
638	780	440
639	781	439
640	781	437
641	782	436
642	783	435
643	784	433
644	786	432
645	787	431
646	788	429
647	788	428
648	789	427
649	790	425
650	791	424
651	792	423
652	794	421
653	794	420
654	796	419
655	796	417
656	797	416
657	798	415
658	799	413
659	800	412
660	801	411
661	802	409
662	803	408
663	804	406
664	804	405
665	805	404
666	806	402
667	807	401
668	808	399
669	809	398
670	810	397
671	811	395
672	812	394
673	812	393
674	813	391
675	814	390
676	815	389
677	816	387
678	817	386
679	819	385
680	819	384
681	820	382
682	821	381
683	822	380
684	823	378
685	824	377
686	825	376
687	826	374
688	827	373
689	828	372
690	829	370
691	831	369
692	831	368
693	833	367
694	833	365
695	834	364
696	835	363
697	836	361
698	837	360
699	838	359
700	839	357
701	839	356
702	840	355
703	841	353
704	842	352
705	843	351
706	844	349
707	845	348
708	846	347
709	847	346
710	848	344
711	849	343
712	850	342
713	851	341
714	853	340
715	853	338
716	855	337
717	855	336
718	856	334
719	857	333
720	858	332
721	860	331
722	861	329
723	861	328
724	862	327
725	863	325
726	864	324
727	865	323
728	866	322
729	867	320
730	868	319
731	869	318
732	870	316
733	871	315
734	872	314
735	873	313
736	874	311
737	875	310
738	876	309
739	877	308
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	883	297
748	884	296
749	885	295
750	886	293
751	887	292
752	888	291
753	889	290
754	890	288
755	891	287
756	892	286
757	892	285
758	893	283
759	894	282
760	895	281
761	896	279
762	897	278
763	898	277
764	898	276
765	899	274
766	900	273
767	901	272
768	902	271
769	903	269
770	904	268
771	905	267
772	906	266
773	906	264
774	907	263
775	908	262
776	909	261
777	910	259
778	911	258
779	912	257
780	913	256
781	914	254
782	914	253
783	915	252
784	916	251
785	917	249
786	918	248
787	919	247
788	920	246
789	920	244
790	921	243
791	922	242
792	923	241
793	924	239
794	925	238
795	926	237
796	927	236
797	928	234
798	929	233
799	929	232
800	930	231
801	931	229
802	932	228
803	933	227
804	934	226
805	935	225
806	936	223
807	937	222
808	938	221
809	938	220
810	939	219
811	940	217
812	941	216
813	942	215
814	943	214
815	943	212
816	944	211
817	945	210
818	946	209
819	947	207
820	947	206
821	949	205
822	949	204
823	950	203
824	951	201
825	952	200
826	953	199
827	954	198
828	955	197
829	956	195
830	957	194
831	958	193
832	958	192
833	959	191
834	960	189
835	961	188
836	962	187
837	963	186
838	964	185
839	965	183
840	965	182
841	966	181
842	967	180
843	968	179
844	969	177
845	970	176
846	972	175
847	972	174
848	973	173
849	974	171
850	975	170
851	976	169
852	977	168
853	978	167
854	979	166
855	979	164
856	980	163
857	981	162
858	982	161
859	983	160
860	983	158
861	984	157
862	986	156
863	986	155
864	987	154
865	988	153
866	990	151
867	991	150
868	992	149
869	993	148
870	994	147
871	995	146
872	996	145
873	998	143
874	999	142
875	1000	141
876	1001	140
877	1002	139
878	1003	138
879	1004	136
880	1005	135
881	1006	134
882	1007	133
883	1007	132
884	1009	131
885	1010	129
886	1011	128
887	1011	127
888	1012	126
889	1013	125
890	1014	124
891	1015	122
892	1016	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	116
898	1022	114
899	1023	113
900	1024	112
901	1025	111
902	1025	110
903	1026	109
904	1027	107
905	1028	106
906	1029	105
907	1030	104
908	1031	103
909	1031	102
910	1032	100
911	1033	99
912	1035	98
913	1036	97
914	1038	96
915	1039	95
916	1040	94
917	1041	93
918	1042	91
919	1043	90
920	1044	89
921	1046	88
922	1047	87
923	1048	86
924	1049	85
925	1050	83
926	1050	82
